fr,en
UE,teaching unit
unité d'enseignement,teaching unit
matière,course
cours magistral,lecture
CM,lecture
TD,tutorial
travaux dirigés,tutorials
TP,lab session
travaux pratiques,lab sessions
contrôle continu,continuous assessment
devoir surveillé,written exam
DS,written exam
examen,written exam
rattrapage,resit
soutenance,oral defence
QCM,multiple-choice test
compte rendu,report
travail personnel,independent study
autonomie encadrée,supervised independent work
prérequis,prerequisites
compétence,competency
bloc de compétences,competency block
alternance,work-study programme
apprenti,apprentice
note,mark
